,E01615,E27064,E26813,E00863,E02877,E01697,E03355,E05254,E00947,E05353,E01573,E01206,E03186,E03219,E04760,E02873,E04036,E01254,E01495,E01971
Prior1YearInstant_NonConsolidatedMember_ShareholdersEquityMember,8,6.0,4.0,4.0,6.0,8.0,4.0,6.0,6.0,4.0,5.0,5.0,4.0,4.0,7.0,2.0,6.0,8.0,6.0,10.0
CurrentYearInstant_NonConsolidatedMember_CapitalSurplusMember,4,3.0,2.0,2.0,,3.0,2.0,3.0,2.0,2.0,,2.0,2.0,,3.0,1.0,3.0,,2.0,5.0
Prior1YTDDuration_jpcrp040300-q1r_E01615-000EnvironmentEquipmentReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
Prior2YearInstant_NonConsolidatedMember_LegalRetainedEarningsMember,4,,,2.0,3.0,3.0,2.0,3.0,3.0,,3.0,3.0,,2.0,4.0,1.0,,5.0,3.0,5.0
CurrentYearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000ServiceRevenueReportableSegmentsMember,12,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_jpcrp030000-asr_E01615-000ServiceRevenueReportableSegmentsMember,12,,,,,,,,,,,,,,,,,,,
CurrentYearDuration,132,171.0,159.0,122.0,233.0,,118.0,185.0,131.0,172.0,161.0,140.0,,,113.0,64.0,221.0,213.0,140.0,418.0
CurrentYearNonConsolidatedInstant,222,67.0,43.0,207.0,135.0,155.0,186.0,108.0,209.0,202.0,226.0,232.0,170.0,141.0,225.0,256.0,183.0,289.0,205.0,118.0
Prior1YTDDuration,81,195.0,259.0,217.0,254.0,,174.0,207.0,242.0,135.0,243.0,197.0,,,194.0,95.0,277.0,287.0,317.0,382.0
Prior1YTDDuration_jpcrp040300-q2r_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentQuarterInstant_No4MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Prior3YearDuration_NonConsolidatedMember,12,9.0,,6.0,9.0,12.0,4.0,9.0,6.0,6.0,6.0,5.0,8.0,10.0,9.0,3.0,11.0,7.0,6.0,12.0
Prior1YearDuration_NonConsolidatedMember_RetainedEarningsBroughtForwardMember,10,6.0,2.0,4.0,6.0,6.0,4.0,6.0,4.0,4.0,4.0,6.0,2.0,3.0,7.0,2.0,6.0,4.0,4.0,8.0
Prior1YTDDuration_jpcrp040300-q3r_E01615-000CrusherAndGrinderReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_NonConsolidatedMember_RetainedEarningsBroughtForwardMember,8,6.0,4.0,4.0,6.0,6.0,4.0,6.0,3.0,4.0,6.0,4.0,2.0,4.0,11.0,2.0,6.0,3.0,4.0,12.0
CurrentYTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,22,,,,21.0,,,,,15.0,,,,,3.0,8.0,,21.0,18.0,
Prior1YearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000EnvironmentEquipmentReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
Prior2YearInstant_NonConsolidatedMember_LegalCapitalSurplusMember,4,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,3.0,5.0
Prior1YearInstant_NonConsolidatedMember_RetainedEarningsBroughtForwardMember,4,6.0,2.0,4.0,6.0,8.0,,6.0,6.0,4.0,2.0,5.0,4.0,4.0,7.0,2.0,6.0,8.0,6.0,6.0
