,EDINET Code,Submitter Name,IsRecorded_try0,IsRecorded_try1,IsRecorded_try2,IsRecorded_try3,IsRecorded_try4,IsRecorded
446,E00660,大王製紙株式会社,1,0,0,0,0,1
447,E00664,古林紙工株式会社,1,0,0,0,0,1
448,E00667,株式会社リヒトラブ,1,0,0,0,0,1
449,E00668,ダイナパック株式会社,1,0,0,0,0,1
450,E00669,株式会社トーモク,1,0,0,0,0,1
451,E00670,コクヨ株式会社,1,0,0,0,0,1
452,E00674,ザ・パック株式会社,1,0,0,0,0,1
453,E00675,スーパーバッグ株式会社,1,0,0,0,0,1
454,E00677,大石産業株式会社,1,0,0,0,0,1
455,E00678,ユニ・チャーム株式会社,1,0,0,0,0,1
456,E00679,ナカバヤシ株式会社,1,0,0,0,0,1
