,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
39,2015-03-31,735688,E02271,buildingsandstructuresnet,53094000000,Prior1YearInstant,Instant,2015-03-31,na,
40,2015-12-31,735963,E02271,buildingsandstructuresnet,49747000000,CurrentQuarterInstant,Instant,2015-12-31,na,
41,2015-03-31,735688,E02271,machineryequipmentandvehiclesnet,48072000000,Prior1YearInstant,Instant,2015-03-31,na,
42,2015-12-31,735963,E02271,machineryequipmentandvehiclesnet,40837000000,CurrentQuarterInstant,Instant,2015-12-31,na,
43,2015-03-31,735688,E02271,land,16142000000,Prior1YearInstant,Instant,2015-03-31,na,
44,2015-12-31,735963,E02271,land,16088000000,CurrentQuarterInstant,Instant,2015-12-31,na,
45,2015-03-31,735688,E02271,constructioninprogress,4393000000,Prior1YearInstant,Instant,2015-03-31,na,
46,2015-12-31,735963,E02271,constructioninprogress,5512000000,CurrentQuarterInstant,Instant,2015-12-31,na,
47,2015-03-31,735688,E02271,othernetppe,26383000000,Prior1YearInstant,Instant,2015-03-31,na,
48,2015-12-31,735963,E02271,othernetppe,23779000000,CurrentQuarterInstant,Instant,2015-12-31,na,
49,2015-03-31,735688,E02271,propertyplantandequipment,148085000000,Prior1YearInstant,Instant,2015-03-31,na,
50,2015-12-31,735963,E02271,propertyplantandequipment,135964000000,CurrentQuarterInstant,Instant,2015-12-31,na,
51,2015-03-31,735688,E02271,goodwill,3076000000,Prior1YearInstant,Instant,2015-03-31,na,
52,2015-12-31,735963,E02271,goodwill,23318000000,CurrentQuarterInstant,Instant,2015-12-31,na,
53,2015-03-31,735688,E02271,otheria,25294000000,Prior1YearInstant,Instant,2015-03-31,na,
54,2015-12-31,735963,E02271,otheria,46703000000,CurrentQuarterInstant,Instant,2015-12-31,na,
55,2015-03-31,735688,E02271,intangibleassets,28370000000,Prior1YearInstant,Instant,2015-03-31,na,
56,2015-12-31,735963,E02271,intangibleassets,70022000000,CurrentQuarterInstant,Instant,2015-12-31,na,
57,2015-03-31,735688,E02271,investmentsecurities,80860000000,Prior1YearInstant,Instant,2015-03-31,na,
58,2015-12-31,735963,E02271,investmentsecurities,84931000000,CurrentQuarterInstant,Instant,2015-12-31,na,
59,2015-03-31,735688,E02271,otherioa,30398000000,Prior1YearInstant,Instant,2015-03-31,na,
60,2015-12-31,735963,E02271,otherioa,29079000000,CurrentQuarterInstant,Instant,2015-12-31,na,
61,2015-03-31,735688,E02271,investmentsandotherassets,110973000000,Prior1YearInstant,Instant,2015-03-31,na,
